filePath,fileType,status,confidence,reason,referencesFound,dynamicUsagePossible,referencedOnlyByTests,referencedOnlyByUnusedFiles,validationSuggested
"src/app/apps/contabilidad.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/direccion.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/legal.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/mantenimiento.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/operations.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/public.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/reclutamiento.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/recursos-humanos.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/resident.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
"src/app/apps/security.luxuryapp/INDEX.ts","barrel/index","SAFE_TO_REMOVE_HIGH_CONFIDENCE","HIGH","Barrel vacio (""// Public API for X""), sin exports, cero referencias en todo src (import, routing, tooling).","","false","false","false","npx tsc --noEmit tras eliminar; confirmar que ningun otro paquete interno lo consume como entry point."
